;cep;logradouro;complemento;unidade;bairro;localidade;uf;estado;regiao;ibge;gia;ddd;siafi
0;01001-000;Praça da Sé;lado ímpar;;Sé;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
1;13600-110;Rua Marechal Deodoro;;;Centro;Araras;SP;São Paulo;Sudeste;3503307;1820;19;6165
